Tech,Arch,Batch Size,Micro Batch Size,DP,Cycle,Latency,E_Compute,E_DRAM_Read,E_DRAM_Write,E_DRAM_Access,E_NOC_Hop,E_SRAM_Read,E_SRAM_Write,E_SRAM_Access,E_CIM_Local_Read,Total_Energy,P_Compute,P_DRAM_Read,P_DRAM_Write,P_DRAM_Access,P_NOC_Hop,P_SRAM_Read,P_SRAM_Write,P_SRAM_Access,P_CIM_Local_Read,P_Total_Power
22,CIM,72,1,4,380474,0.4755925,148832.9441279974,14155.77600000001,0,14155.77600000001,14205.321215999773,97108.62336001208,170633.72390407746,267742.3472640895,14143.979519998566,459080.36812788504,1.251768639143783,0.11905802551554123,0.0,0.11905802551554123,0.11947472860484362,0.8167380550367138,1.4351254395649844,2.251863494601698,0.11895881049426613,3.861123698358448
7,CIM,72,1,4,380474,0.4755925,60830.46604800836,14155.77600000001,0,14155.77600000001,4519.585382400041,54499.73759999928,95763.82464006633,150263.5622400656,3990.159360000812,233759.54903046018,0.5116183795834321,0.11905802551554123,0.0,0.11905802551554123,0.03801225109647475,0.4583733982348273,0.8054275426131937,1.2638009408480209,0.03355948094219999,1.966049077985546
22,DAVINCI,72,32,2,475209,0.475209,570787.4304000713,28311.552000000007,0,28311.552000000007,15783.690240000049,224274.6777599836,341267.44780799415,565542.1255679778,0,1180424.7982074555,2.4022585026801737,0.11915410692979303,0.0,0.11915410692979303,0.0664284146133598,0.9438991170621078,1.4362836049317,2.3801827219938083,0.0,4.968023746214636
7,DAVINCI,72,32,2,475209,0.475209,258533.1302399695,28311.552000000007,0,28311.552000000007,5021.761536000009,125868.44160002496,191527.64928008843,317396.0908801134,0,609262.534655691,1.0880817923901673,0.11915410692979303,0.0,0.11915410692979303,0.02113495971667207,0.5297393003921431,0.8060775333804218,1.335816833772565,0.0,2.5641876928075478
